headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
Restitution Fears Unsettle the Trade in African Art,Dealers worry that a report recommending that museums return African artworks will also discourage private collectors from buying or donating pieces.,"BRUSSELS — Serge Schoffel placed a red sticker on the label for a 19th-century Dan Mano mask from Liberia. “This is my best sale,” he said.",Arts and Antiquities Looting,News,"brussels, serge, schoffel","['brussel', 'serg', 'schoffel', 'sticker', 'label', 'dan', 'mano', 'mask', '“', 'sale', '”']","dealer, worry, report","['dealer', 'report', 'museum', 'artwork', 'collector', 'piec']","restitution, fear, unsettle","['restitut', 'fear', 'trade', 'art']"
Ellie Kemper: What I Learned From the Cast of ‘Unbreakable Kimmy Schmidt’,"As the Netflix series ends, Kemper writes about saying goodbye to Kimmy and what she learned from colleagues like Tina Fey.","The end of a TV show can mean a lot of things for an actor: the end of getting your hair done for free, the end of eating hot snacks for free, the end of free time spent napping in your trailer. But it also means something more poignant: the end of your character’s journey. (At least until the show’s reboot.) While television characters are immortal in a way — living on even after the show is done — when the story reaches its conclusion, so, too, does the time an actor has spent getting to know the characters in that world. When I learned that the fourth season of “Unbreakable Kimmy Schmidt” would be its last, I felt sad to have to say goodbye to Kimmy. While rumors of a possible movie help to cushion the blow, still, the series itself is over.",Television,News,"end, show, free","['end', 'tv', 'show', 'lot', 'thing', 'actor', 'end', 'hair', 'end', 'snack', 'end', 'time', 'trailer', 'someth', 'end', 'charact', '’', 'journey', 'show', '’', 'reboot', 'televis', 'charact', 'way', 'live', 'show', '—', 'stori', 'conclus', 'time', 'actor', 'charact', 'world', 'season', '“', 'kimmi', 'schmidt', '”', 'goodby', 'rumor', 'movi', 'help', 'blow', 'seri']","netflix, series, end","['seri', 'write', 'goodby', 'colleagu', 'tina']","ellie, kemper, learned","['cast', '‘', 'kimmi', 'schmidt', '’']"
5 Arrested After Brazil Dam Collapse That Killed Dozens,"Those arrested were directly involved in and responsible for the mining enterprise and its licensing, as well as in recent testing that found the dam to be stable.","BRUMADINHO, Brazil — The Brazilian police on Tuesday arrested five people, including three employees of the giant mining company Vale, as part of an investigation into a dam rupture that left at least 84 dead and 276 missing.",Brazil,News,"brumadinho, brazil, brazilian","['brumadinho', 'brazil', 'polic', 'tuesday', 'peopl', 'employe', 'mine', 'compani', 'vale', 'part', 'investig', 'ruptur']","arrested, directly, involved","['mine', 'enterpris', 'licens', 'test', 'dam']","5, arrested, brazil","['brazil', 'dam', 'collaps', 'dozen']"
"Venezuelan Opposition Leader Guaidó Controls U.S. Bank Accounts, State Dept. Says",The State Department’s decision to turn over assets and property to Juan Guaidó is part of a Trump Administration effort to oust President Nicolás Maduro.,WASHINGTON — The State Department said Tuesday that it had given the Venezuelan opposition leader Juan Guaidó the right to control assets and property in the United States bank accounts of the government of Venezuela.,Venezuela,News,"state, washington, department","['washington', 'state', 'depart', 'tuesday', 'opposit', 'leader', 'juan', 'right', 'asset', 'properti', 'state', 'bank', 'account', 'govern', 'venezuela']","state, department, decision","['state', 'depart', '’', 'decis', 'asset', 'properti', 'guaidó', 'part', 'administr', 'effort', 'presid', 'maduro']","venezuelan, opposition, leader","['opposit', 'leader', 'guaidó', 'bank', 'account', 'state', 'dept']"
End Forced Labor in Immigrant Detention,Why is Congress allowing private contractors to exploit detained immigrants?,"There are more than 48,000 people being held in immigrant detention in more than 200 facilities in the United States. More than two-thirds of them, according to the National Immigrant Justice Center, are confined by private companies, working on contracts with the federal government. Those numbers have ballooned in the last two years under the Trump administration, drawing new attention to the terrible conditions detainees are living in.",Forced Labor,Op-Ed,"immigrant, two, 48","['peopl', 'detent', 'facil', 'state', 'twothird', 'justic', 'center', 'compani', 'contract', 'govern', 'number', 'year', 'trump', 'administr', 'attent', 'condit', 'detaine']","congress, allowing, private","['contractor', 'immigr']","end, forced, labor","['end', 'labor', 'detent']"
Why Did Soviets Invade Afghanistan? Documents Offer History Lesson for Trump,President Trump claimed the Soviet Union went to war in 1979 to battle terrorists. But a newly published cable underscores Moscow’s fear that Afghanistan would switch loyalties to the West.,"WASHINGTON — One day in October 1979, an American diplomat named Archer K. Blood arrived at Afghanistan’s government headquarters, summoned by the new president, whose ousted predecessor had just been smothered to death with a pillow.",AFGHANISTAN,News,"washington, one, day","['washington', 'day', 'octob', 'diplomat', 'blood', '’', 'govern', 'headquart', 'presid', 'predecessor', 'death', 'pillow']","president, trump, claimed","['presid', 'trump', 'union', 'war', 'battl', 'terrorist', 'cabl', 'underscor', 'fear', 'afghanistan', 'loyalti', 'west']","soviet, invade, afghanistan","['soviet', 'document', 'histori', 'lesson', 'trump']"
Landscaper Pleads Guilty in Murders That Shook Toronto’s Gay Community,"In a case that opened a rift between Toronto’s gay community and its police, a landscaper has pleaded guilty to eight murders in the city’s gay district.",OTTAWA — A Toronto landscaper pleaded guilty to eight murders on Tuesday in a case that traumatized the gay community in Canada’s largest city.,Serial Murders,News,"ottawa, toronto, landscaper","['landscap', 'murder', 'tuesday', 'case', 'gay', 'commun', 'canada', '’', 'citi']","gay, case, opened","['case', 'rift', 'toronto', '’', 'gay', 'commun', 'polic', 'landscap', 'murder', 'citi', '’', 'district']","landscaper, pleads, guilty","['plead', 'murder', '’', 'gay', 'commun']"
‘The Wild Pear Tree’ Review: A Gambler and a Writer at Odds,Modern Turkey is the backdrop for a father-son story rich with literary overtones and philosophical implications.,"“The Wild Pear Tree,” Nuri Bilge Ceylan’s latest film, shares its title with a manuscript written by its protagonist, a restless young man named Sinan. The book is a collection of short pieces, quasi- or semi-fictional but based in reality, touching on aspects of life in the part of western Turkey where Sinan (Aydin Dogu Demirkol) and his family live. Pitching the manuscript to a local government official he thinks might subsidize its publication, the author is at pains to describe it in resolutely anti-commercial terms. Though the area includes the battle sites of both Troy and Gallipoli, there is nothing of historical or touristic interest in the work. It’s defiantly cerebral — resistant to summary, classification and perhaps easy comprehension as well. Like the movie, more or less.",Movies,Review,"manuscript, sinan, wild","['tree', '”', 'bilg', 'ceylan', '’', 'film', 'share', 'titl', 'manuscript', 'protagonist', 'restless', 'man', 'book', 'collect', 'piec', 'realiti', 'aspect', 'life', 'part', 'turkey', 'sinan', 'aydin', 'dogu', 'demirkol', 'famili', 'manuscript', 'govern', 'offici', 'public', 'author', 'pain', 'term', 'area', 'battl', 'troy', 'gallipoli', 'noth', 'interest', 'work', '—', 'resist', 'classif', 'comprehens', 'movi']","modern, turkey, backdrop","['turkey', 'backdrop', 'stori', 'overton', 'implic']","wild, pear, tree","['tree', '’', 'gambler', 'writer', 'odd']"
A Growing Chorus of Big City Prosecutors Say No to Marijuana Convictions,"Marlyn Mosby, Baltimore’s top prosecutor, says she will no longer prosecute marijuana possession cases and will vacate thousands of convictions. The police disagree.",BALTIMORE — Baltimore has both the highest murder rate among the nation’s big cities and one of the most broken relationships between its police and its citizenry. Only one out of four homicides were solved last year. And the city’s enforcement of marijuana laws has fallen almost exclusively on African-Americans.,Drug Abuse and Traffic,News,"baltimore, city, one","['baltimor', 'murder', 'rate', 'nation', '’', 'citi', 'relationship', 'polic', 'citizenri', 'homicid', 'year', 'citi', '’', 'enforc', 'marijuana', 'law', 'africanamerican']","marlyn, mosby, baltimore","['marlyn', 'mosbi', 'top', 'prosecutor', 'posse', 'case', 'thousand', 'convict', 'polic']","growing, chorus, big","['choru', 'citi', 'prosecutor', 'convict']"
When College Rapists Graduate,"If they’re not held accountable at school, what’s to stop them from becoming the villain of another woman’s #MeToo story once they enter the work force?","As a student at Harvard, I reported a sexual assault by a classmate to the university. After a six-month investigation that ended after I graduated, I received a decision from the administrative board. ",#MeToo Movement,Op-Ed,"student, harvard, reported","['student', 'harvard', 'assault', 'classmat', 'univers', 'investig', 'decis', 'board']","held, accountable, school","['school', 'villain', 'woman', 'stori', 'work', 'forc']","college, rapist, graduate","['colleg', 'rapist']"
How to Disable FaceTime to Avoid Eavesdropping Bug,"Apple has disabled Group FaceTime, the feature that enabled the eavesdropping, while it works on a fix. But for extra security, follow these steps.","A major bug in Apple’s FaceTime app surfaced on Monday that allows anyone with an iPhone, iPad or Mac computer to eavesdrop on other users without their knowledge. Apple said Monday evening that it was aware of the glitch, was working on a fix and would release it in a software update later this week.",iOS (Operating System),News,"apple, monday, major","['bug', 'appl', '’', 'facetim', 'app', 'monday', 'anyon', 'iphon', 'ipad', 'mac', 'comput', 'user', 'knowledg', 'appl', 'even', 'glitch', 'fix', 'softwar', 'updat', 'week']","apple, disabled, group","['appl', 'group', 'featur', 'eavesdrop', 'fix', 'secur', 'step']","disable, facetime, avoid","['facetim', 'eavesdrop', 'bug']"
John Malkovich to Play Harvey Weinstein-Like Character in West End,"“Of course it might upset people who’ve experienced the kind of treatment that the play describes,” Malkovich told the BBC. “But what can I do about that?”",Barney Fein is a depraved Hollywood mogul — “a bloated monster” — whose fall from grace can be seen in London’s West End starting in June.,Theater,News,"barney, fein, depraved","['barney', 'fein', 'hollywood', 'mogul', '—', 'monster', '”', '—', 'fall', 'grace', 'end', 'june']","course, might, upset","['“', 'cours', 'peopl', 'kind', 'treatment', 'play', '”', 'malkovich', 'bbc', '“', '”']","john, malkovich, play","['john', 'malkovich', 'harvey', 'charact', 'end']"
"In France, Comic Books Are Serious Business","At the Angoulême International Comics Festival, there was a sense that the best days for comic books may be yet to come — in the French-speaking world, at least.","ANGOULÊME, France — It’s a big year for comic book anniversaries. Batman’s 80th is this year, and Asterix is turning 60. But at the Angoulême International Comics Festival in France, which finished on Sunday, there was a sense that the form’s best days may be yet to come — in the French-speaking world, at least.",Comic Books and Strips,News,"angoulême, france, year","['franc', '’', 'year', 'book', 'anniversari', 'year', 'asterix', 'comic', 'franc', 'sunday', 'sen', 'form', '’', 'day', '—', 'world']","comic, angoulême, international","['comic', 'sen', 'day', 'book', '—', 'world']","france, comic, book","['franc', 'book', 'busi']"
"‘Police Story,’ When Jackie Chan Swung Into Action","The Asian action star, the Fred Astaire of outrageous mayhem, returns in his digitally restored breakthrough movies.",The Asian action star Jackie Chan has been often compared to Buster Keaton (no one takes a fall better) and sometimes to Douglas Fairbanks (whose acrobatic grace he equals in vaulting over a wall). But I’m always fascinated by his moves: Chan is the Fred Astaire of outrageous mayhem.,Movies,News,"chan, asian, action","['action', 'star', 'jacki', 'chan', 'keaton', 'one', 'fall', 'fairbank', 'grace', 'wall', '’', 'move', 'astair', 'mayhem']","asian, action, star","['action', 'astair', 'mayhem', 'return', 'movi']","police, story, jackie","['polic', 'stori', '’', 'jacki', 'chan', 'swung', 'action']"
A Brooklyn Cocktail Bar With Live Music and Sushi,"Ponyboy, a homey hangout in Greenpoint, offers a refreshing break from the cookie-cutter hotel bars.","Not every new bar in New York needs to be an Instagram-seducing set for tourists or birthday revelers, invariably lodged in a hotel underbelly. Cue Ponyboy, which opened in late September in the Greenpoint section of Brooklyn.",Cocktails and Mixed Drinks,News,"new, every, bar","['bar', 'york', 'need', 'instagramseduc', 'set', 'tourist', 'birthday', 'revel', 'hotel', 'ponyboy', 'septemb', 'greenpoint', 'section', 'brooklyn']","ponyboy, homey, hangout","['homey', 'hangout', 'greenpoint', 'offer', 'break', 'hotel', 'bar']","brooklyn, cocktail, bar","['brooklyn', 'cocktail', 'bar', 'music', 'sushi']"
"Oliver Mtukudzi, Renowned Zimbabwean Musician, Is Dead at 66","His music, a kind of soundtrack to his country’s life in the late 20th century, became its own idiom, called “Tuku music,” after his nickname.","Oliver Mtukudzi, whose singing and guitar playing harnessed influences from across Southern Africa to create the most popular musical style in Zimbabwe, died on Jan. 23 in Harare, the nation’s capital. He was 66.","Mtukudzi, Oliver",Obituary (Obit),"oliver, mtukudzi, whose","['mtukudzi', 'sing', 'guitar', 'play', 'influenc', 'africa', 'style', 'zimbabw', 'jan', 'harar', 'nation', '’', 'capit']","music, kind, soundtrack","['music', 'kind', 'soundtrack', 'countri', '’', 'life', 'centuri', 'idiom', 'music', '”', 'nicknam']","oliver, mtukudzi, renowned","['mtukudzi', 'musician']"
A Game Plan for Eating Well in Atlanta,"The city’s restaurant scene has evolved since the last Super Bowl here. So look beyond downtown, enjoy the diversity and don’t forget breakfast.","ATLANTA — In 2000, the last time this city hosted the Super Bowl, the St. Louis Rams beat the Tennessee Titans, and Watershed had been frying its famous fried chicken in lard and sweet butter flavored with country ham for only a year.",Restaurants,News,"atlanta, 2000, last","['—', 'time', 'citi', 'super', 'st', 'loui', 'tennesse', 'titan', 'chicken', 'lard', 'butter', 'countri', 'ham', 'year']","city, restaurant, scene","['citi', '’', 'restaur', 'scene', 'bowl', 'diver', 'forget', 'breakfast']","game, plan, eating","['game', 'plan', 'atlanta']"
"Without Really Changing, Casa Enrique Keeps Getting Better","With his constant menu of traditional dishes, the chef, Cosme Aguilar, says he is emulating his favorite restaurants in Mexico.","New York used to be a one-mole town, and that was mole poblano. A chocolate-colored, bittersweet agglomeration of two dozen or so ingredients, it comes, like most of the city’s Mexican immigrants, from the state of Puebla.",Restaurants,Review,"mole, new, york","['york', 'town', 'poblano', 'bittersweet', 'agglomer', 'dozen', 'ingredi', 'citi', '’', 'immigr', 'state', 'puebla']","constant, menu, traditional","['menu', 'dish', 'chef', 'cosm', 'aguilar', 'restaur', 'mexico']","without, really, changing",['casa']
Review: ‘Master of the Crossroads’ Embraces Irrationality,"The show, written and directed by Paul Calderon, begins intensely and continues on a harrowing, one-way trip to hell.",The new play “Master of the Crossroads” has range: The tone goes from frenzied to hysterical to off-the-charts bonkers.,Theater,Review,"new, play, master","['play', 'master', 'crossroad', '”', 'tone', 'offthechart', 'bonker']","show, written, directed","['show', 'paul', 'calderon', 'trip']","review, master, crossroad","['review', 'master', 'crossroad', '’', 'irration']"
"Round (and Hoop, and Eagle and Deer) Dancing on First Avenue","Louis Mofsie, the director of the Thunderbird American Indian Dancers, talks about the history and mission of his group, the oldest of its kind in New York.","The Round Dance, a Native American dance of friendship, happens at powwows and other gatherings of Indigenous people all over the country. But as Louis Mofsie, the director of the Thunderbird American Indian Dancers, noted on Friday night: “We have some of the best round dancing right here on First Avenue in New York.”",Dancing,News,"round, dance, american","['round', 'danc', 'danc', 'friendship', 'happen', 'powwow', 'gather', 'peopl', 'countri', 'director', 'dancer', 'night', '“', 'round', 'avenu', 'york', '”']","louis, mofsie, director","['loui', 'director', 'dancer', 'talk', 'histori', 'mission', 'group', 'kind', 'york']","round, hoop, eagle","['round', 'hoop', 'eagl', 'deer', 'danc', 'avenu']"
Can the Diva Who Once Ruled the Met Make a Comeback?,"The soprano Aprile Millo thrilled audiences in the 1980s and ’90s, then receded from view. On Wednesday, she gives her first New York recital in 10 years.","“It’s so perfect, it makes you want to cry,” the soprano Aprile Millo said, her eyes getting moist just thinking about it.","Millo, Aprile",News,"perfect, make, want","['’', 'soprano', 'april', 'millo', 'eye', 'moist']","soprano, aprile, millo","['soprano', 'millo', 'audienc', 'view', 'wednesday', 'york', 'recit', 'year']","diva, ruled, met","['diva', 'met', 'comeback']"
Theresa May Wants the E.U. to Renegotiate Brexit. Will It?,Brussels has said many times that the “Irish backstop” cannot and will not be renegotiated. But a paradox lurks at the heart of its position.,"BRUSSELS — To try to preserve support within her own fractured Conservative Party, Prime Minister Theresa May of Britain said on Tuesday that she would seek to reopen the withdrawal agreement painfully negotiated with the European Union to alter what is known as “the Irish backstop.”",Great Britain Withdrawal from EU (Brexit),News,"brussels, try, preserve","['brussel', 'support', 'parti', 'minist', 'theresa', 'britain', 'tuesday', 'withdraw', 'agreement', 'union', '“', 'backstop', '”']","brussels, said, many","['brussel', 'time', '“', 'backstop', '”', 'paradox', 'lurk', 'heart', 'posit']","theresa, may, want","['theresa', 'eu', 'brexit']"
"China’s Coal Plants Haven’t Cut Methane Emissions as Required, Study Finds","China in 2010 promised to curb methane emissions. In the first five years, it failed to keep its promise, according to new research based on satellite data.","China, the world’s coal juggernaut, has continued to produce more methane emissions from its coal mines despite its pledge to curb the planet-warming pollutant, according to new research.",China,News,"coal, china, world","['world', '’', 'coal', 'juggernaut', 'emiss', 'coal', 'mine', 'pledg', 'planetwarm', 'pollut', 'research']","china, 2010, promised","['china', 'methan', 'emiss', 'year', 'promis', 'research', 'satellit', 'data']","china, coal, plant","['china', '’', 'coal', 'plant', 'cut', 'methan', 'emiss', 'studi', 'find']"
"It’s Getting Very, Very, Very Cold Outside. Read About Someplace Warm.",Looking for an escape route from the polar vortex? Here are a half-dozen possibilities that are guaranteed to be warmer than minus-14 degrees.,"As the dreaded polar vortex promises record-breaking low temperatures across the Midwest this week, the dream of warmer climates takes hold. It’s summer somewhere, right? (Even without the frigid cold, nearly two out of three Americans say they regret not taking a warm-weather vacation last year, according to Airbnb). ",ARIZONA,News,"dreaded, polar, vortex","['vortex', 'promis', 'temperatur', 'midwest', 'week', 'dream', 'warmer', 'climat', 'summer', 'american', 'warmweath', 'vacat', 'year']","looking, escape, route","['escap', 'rout', 'vortex', 'possibl', 'minus14', 'degre']","getting, cold, outside","['read', 'someplac', 'warm']"
Talk Celebrates a New Book,"The food writer Yasmin Khan speaks with Kerry Diamond, the editor in chief of Cherry Bombe magazine, about “Zaitoun,” Ms. Khan’s book on Palestinian cuisine.","In her new book, “Zaitoun,” Yasmin Khan, a human-rights activist and food writer, explores the significance and history of the olive in the culture of the Palestinians and Jews, especially in Israel, the West Bank and Gaza. Ms. Khan will discuss Palestinian home-cooking and the role of food in bridging the cultural divide at the Museum of Food and Drink with Kerry Diamond, a Brooklyn restaurateur and the editor in chief of Cherry Bombe magazine. The talk will be followed by a book-signing and snacks.",Cooking and Cookbooks,News,"food, book, khan","['book', '“', 'zaitoun', '”', 'yasmin', 'humanright', 'activist', 'food', 'writer', 'signific', 'histori', 'oliv', 'cultur', 'palestinian', 'jew', 'west', 'bank', 'm', 'khan', 'homecook', 'role', 'food', 'divid', 'museum', 'food', 'drink', 'diamond', 'brooklyn', 'restaurateur', 'editor', 'chief', 'cherri', 'bomb', 'magazin', 'talk', 'booksign', 'snack']","khan, food, writer","['food', 'writer', 'yasmin', 'speak', 'diamond', 'editor', 'chief', 'cherri', 'bomb', 'magazin', 'zaitoun', '”', 'm', 'khan', '’', 'book', 'cuisin']","talk, celebrates, new","['talk', 'book']"
"Germany Proposes to Ease, Not End, Nazi-Era Abortion Law","A compromise in Germany would make information on abortion providers publicly available, but women’s rights advocates say it does not go far enough.","BERLIN — For the first time in generations, German women would have legal access to public information about who performs abortions and what services they provide, under a compromise that seeks to end a dispute that has plagued Chancellor Angela Merkel’s government for months.",Women's Rights,News,"berlin, first, time","['berlin', '—', 'time', 'gener', 'woman', 'access', 'inform', 'abort', 'servic', 'compromis', 'disput', 'chancellor', 'angela', 'merkel', '’', 'govern', 'month']","compromise, germany, would","['compromis', 'germani', 'inform', 'abort', 'provid', 'woman', 'right', 'advoc']","germany, proposes, ease","['germani', 'naziera', 'abort', 'law']"
"Palestinian Government Resigns, With No Clear Replacement","The move reflects the failure of efforts to reunite the West Bank, where the government is based, and the Gaza Strip, controlled by the militant group Hamas.","JERUSALEM — The government of the Palestinian Authority tendered its resignation on Tuesday, a move that reflected rising public discontent and the failure of efforts to reunite the West Bank, where the authority is based, and the Gaza Strip, controlled by the militant Islamist group Hamas.",Palestinians,News,"authority, jerusalem, government","['jerusalem', 'govern', 'author', 'resign', 'tuesday', 'move', 'discont', 'failur', 'effort', 'west', 'bank', 'author', 'gaza', 'strip', 'islamist', 'group', 'hama']","move, reflects, failure","['move', 'failur', 'effort', 'west', 'bank', 'govern', 'gaza', 'strip', 'group', 'hama']","palestinian, government, resigns","['govern', 'resign', 'replac']"
"Jussie Smollett, Star of ‘Empire,’ Attacked in What Police Call a Possible Hate Crime",Smollett was attacked early Tuesday by two people who the police say yelled “racial and homophobic slurs” and wrapped a rope around his neck.,"Jussie Smollett, one of the stars of the Fox television show “Empire,” was attacked in Chicago early Tuesday morning by two people who yelled racial and homophobic slurs and wrapped a rope around his neck, according to the police, who said they were investigating the incident as “a possible hate crime.”",Television,News,"jussie, smollett, one","['jussi', 'star', 'televis', 'show', '“', 'empir', '”', 'tuesday', 'morn', 'peopl', 'slur', 'rope', 'neck', 'polic', 'incid', '“', 'hate', 'crime', '”']","smollett, attacked, early","['smollett', 'peopl', 'polic', 'slur', 'rope', 'neck']","jussie, smollett, star","['jussi', 'star', '‘', 'empir', '’', 'polic', 'call', 'hate', 'crime']"
A New Beer Resource in Chelsea,"Beer Run specializes in canned beers in a variety of styles, but you’ll also find some ciders.","The partners in Beer Run — a compact, well-stocked new source for beer-buying and drinking — have a natural feel for the business. John Hyun was an assistant brewer at Peekskill Brewery upstate and knows his craft beers. So does his partner, Larry Good, who owns two restaurants with beer-drinking audiences, Toast and The Heights near Columbia University. Enter their narrow Chelsea store, and you’ll find bottled beers on shelves, though most of the inventory is in cans refrigerated and grouped according to style, like I.P.A., saison, wheat and so forth. Ciders, too. In the rear of the store is a bar where a dozen beers, often local and changing daily, are dispensed on tap. A few wines are also poured.","Chelsea (Manhattan, NY)",News,"beer, partner, drinking","['partner', 'beer', 'sourc', 'beerbuy', 'drink', '—', 'feel', 'busi', 'john', 'hyun', 'brewer', 'breweri', 'upstat', 'craft', 'beer', 'partner', 'restaur', 'audienc', 'toast', 'height', 'columbia', 'univers', 'chelsea', 'store', 'beer', 'shelv', 'inventori', 'can', 'style', 'ipa', 'saison', 'wheat', 'cider', 'rear', 'store', 'bar', 'dozen', 'beer', 'tap', 'wine']","beer, run, specializes","['beer', 'run', 'beer', 'varieti', 'style', 'cider']","new, beer, resource","['beer', 'resourc', 'chelsea']"
New York’s Depression Era Foodways,Unpublished photographs from the Federal Writers’ Project are on display at the Municipal Archives.,"During the Depression, the Federal Writers’ Project enlisted writers across the country to document American themes. In New York, there was a prolific output, which included works on architecture and a guidebook. “Feeding the City,” about the food of New York, was supposed to be a book, but was never published. Manuscripts and photographs from the project are on display through March in the Surrogate’s Court building.",Archives and Records,News,"writer, project, new","['depress', 'writer', 'project', 'writer', 'countri', 'theme', 'york', 'prolif', 'output', 'work', 'architectur', 'guidebook', '“', 'citi', '”', 'food', 'york', 'book', 'manuscript', 'photograph', 'project', 'display', 'march', 'surrog', '’', 'court', 'build']","unpublished, photograph, federal","['photograph', 'writer', 'project', 'display', 'archiv']","new, york, depression","['york', '’', 'depress', 'era', 'foodway']"
A Pre-Prohibition California Vermouth Returns,"The white vermouth, from Gundlach Bundschu wine company, doesn’t need a martini. It can stand alone.","Until Prohibition, the Gundlach Bundschu wine company was known for its brandy and vermouth as much as for its table wines, made in Sonoma County, Calif., since 1858. These days, wine production dominates at the family-owned estate, but, with cocktails and aperitifs so popular, it is bringing back its martini-friendly white vermouth. It’s made from gewürztraminer grapes, the first varietal planted at the estate. Delicate and pale straw in color, the vermouth is at once floral and lightly fruited. Try it before dinner, on the rocks with a twist.",Wines,News,"wine, vermouth, made","['prohibit', 'gundlach', 'bundschu', 'wine', 'compani', 'brandi', 'vermouth', 'tabl', 'wine', 'counti', 'calif', 'day', 'product', 'domin', 'estat', 'cocktail', 'aperitif', 'vermouth', 'gewürztramin', 'grape', 'variet', 'estat', 'delic', 'straw', 'color', 'vermouth', 'tri', 'dinner', 'rock', 'twist']","white, vermouth, gundlach","['vermouth', 'gundlach', 'bundschu', 'wine', 'compani', '’', 'martini']","pre, prohibition, california","['preprohibit', 'california', 'vermouth', 'return']"
"The Lonely, and Often Risky, Pursuit of R. Kelly: ‘Where Was Everybody Else?’","The work of Jim DeRogatis and Dream Hampton on the accusations against the R&B star began years apart. Now that it seems the public is listening, they have a sense of satisfaction — and security concerns.","CHICAGO — For the journalists who have dug the deepest on R. Kelly, these should be satisfying days.","Kelly, R",News,"chicago, journalist, dug","['chicago', '—', 'journalist', 'deepest', 'r', 'day']","work, jim, derogatis","['work', 'jim', 'derogati', 'dream', 'hampton', 'accus', 'star', 'year', 'public', 'sen', 'satisfact', '—', 'secur', 'concern']","lonely, often, risky","['pursuit', 'r', '‘', 'everybodi']"
How to Make a Sheet-Pan Dinner,"A sheet pan takes the concept of a one-pot meal and flips it onto a pan. It saves time, makes clean-up easier, and doesn’t require expensive equipment or fancy ingredients. Just start with your protein of choice, then add vegetables, fat and flavorings, and roast at high heat until everything is golden brown. Here’s how.","A sheet pan takes the concept of a one-pot meal and flips it onto a pan. It saves time, makes clean-up easier, and doesn’t require expensive equipment or fancy ingredients. Just start with your protein of choice, then add vegetables, fat and flavorings, and roast at high heat until everything is golden brown. Here’s how.",Cooking and Cookbooks,Interactive Feature,"pan, sheet, take","['sheet', 'pan', 'concept', 'onepot', 'meal', 'pan', 'time', 'cleanup', '’', 'requir', 'equip', 'ingredi', 'protein', 'choic', 'veget', 'flavor', 'roast', 'heat', 'everyth', 'brown']","pan, sheet, take","['sheet', 'pan', 'concept', 'onepot', 'meal', 'pan', 'time', 'cleanup', '’', 'requir', 'equip', 'ingredi', 'protein', 'choic', 'veget', 'flavor', 'roast', 'heat', 'everyth', 'brown']","make, sheet, pan","['sheetpan', 'dinner']"
The Venezuela Calumny,"If screaming about a failing petrostate is all you have, you’ve lost the argument.","Alas, Michael Bloomberg. You aren’t the man I thought you were.",Politics and Government,Op-Ed,"ala, michael, bloomberg","['ala', 'man']","screaming, failing, petrostate","['petrost', 'argument']","venezuela, calumny","['venezuela', 'calumni']"
Sheet Pans With Tread,Chicago Metallic’s new sheet pans are textured to keep food from sticking.,"I keep a small rimmed sheet pan — nonwarping — in my oven, not for want of storage elsewhere, but because I frequently use it and like to have it ready. A new heavy-duty aluminum pan from Chicago Metallic has wire-wrapped rims to resist warping and textured surfaces to aid in food release. The sheet pans come in three sizes, 9-by-13 inches, 10-by-15 and 8-by-13, $11.99 to $16.99. The line also includes loaf, cake, pie and pizza pans.",Cookware,News,"pan, sheet, 13","['sheet', 'pan', '—', 'want', 'storag', 'heavyduti', 'aluminum', 'pan', 'chicago', 'metal', 'rim', 'warp', 'surfac', 'aid', 'food', 'releas', 'sheet', 'size', 'inch', 'line', 'cake', 'pie', 'pizza', 'pan']","chicago, metallic, new","['’', 'sheet', 'pan', 'food']","sheet, pan, tread","['sheet', 'pan', 'tread']"
California’s Largest Utility Says It Is Bankrupt. Here’s What You Need to Know.,Pacific Gas and Electric has filed for Chapter 11 bankruptcy protection. The state’s wildfires are at the heart of its insolvency.,"Pacific Gas and Electric, California’s largest utility, serving more than 16 million people, filed for bankruptcy protection on Tuesday because it is facing tens of billions of dollars in liability for wildfires. The company’s equipment could be responsible for causing wildfires that killed dozens of people, destroyed thousands of homes and resulted in billions of dollars in damage over the past few years. ",Bankruptcies,News,"people, billion, dollar","['pacif', 'ga', 'california', '’', 'util', 'peopl', 'bankruptci', 'protect', 'tuesday', 'ten', 'billion', 'dollar', 'liabil', 'compani', '’', 'equip', 'wildfir', 'dozen', 'peopl', 'thousand', 'home', 'billion', 'dollar', 'damag', 'year']","pacific, gas, electric","['pacif', 'ga', 'electr', 'chapter', 'bankruptci', 'protect', 'state', '’', 'wildfir', 'heart', 'insolv']","california, largest, utility","['california', '’', 'util']"
